model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF MPV 7|||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|4740|mm|model_data/vf-mpv7.csv
VF MPV 7|||dimension|Kích thước & trọng lượng|width_mm|Chiều rộng tổng thể|1872|mm|model_data/vf-mpv7.csv
VF MPV 7|||dimension|Kích thước & trọng lượng|height_mm|Chiều cao tổng thể|1734|mm|model_data/vf-mpv7.csv
VF MPV 7|||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2.840|mm|model_data/vf-mpv7.csv
VF MPV 7|||dimension|Kích thước & trọng lượng|ground_clearance_mm|Khoảng sáng gầm xe|185|mm|model_data/vf-mpv7.csv
VF MPV 7|||dimension|Kích thước & trọng lượng|curb_weight_kg|Trọng lượng không tải|1.875|kg|model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|headlight_type|Đèn chiếu sáng phía trước|LED||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|daytime_running_light|Đèn chờ dẫn đường|Có||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|auto_headlights|Đèn pha tự động|Có||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|headlight_leveling|Điều khiển góc chiếu đèn|Chỉnh cơ||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|drl_type|Đèn chiếu sáng ban ngày|LED||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|tail_light_type|Đèn hậu|LED||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|brand_light|Đèn nhận diện thương hiệu|LED||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|rearview_mirror_type|Gương chiếu hậu|Chỉnh điện, gập điện, tích hợp đèn báo rẽ||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|power_windows|Kính cửa sổ điện|Có||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|one_touch_windows|Kính cửa sổ chỉnh điện 1 chạm|Có||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|auto_wiper|Gạt mưa trước tự động|Điều khiển gián đoạn||model_data/vf-mpv7.csv
VF MPV 7|||exterior|Ngoại thất|roof_rack|Thanh trang trí nóc xe|Phụ kiện chính hãng||model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|power_kw|Công suất tối đa|150|kW|model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|torque_nm|Mô-men xoắn cực đại|280|Nm|model_data/vf-mpv7.csv
VF MPV 7|||battery|Pin & sạc|battery_kwh|Dung lượng pin khả dụng|60,13|kWh|model_data/vf-mpv7.csv
VF MPV 7|||battery|Pin & sạc|range_km|Phạm vi di chuyển|450|km|model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|mobile_charger_type|Dây sạc di động|3,5 kW (Phụ kiện chính hãng)||model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|home_charger_type|Bộ sạc tại nhà|7,4 kW (Phụ kiện chính hãng)||model_data/vf-mpv7.csv
VF MPV 7|||battery|Pin & sạc|ac_charge_power_kw|Công suất sạc AC tối đa|6,9 kW|kW|model_data/vf-mpv7.csv
VF MPV 7|||battery|Pin & sạc|dc_charge_power_kw|Công suất sạc nhanh DC tối đa|80 kW|kW|model_data/vf-mpv7.csv
VF MPV 7|||battery|Pin & sạc|fast_charge_min|Thời gian nạp pin nhanh nhất|30 phút từ 10% đến 70 %|phút|model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|regenerative_braking|Hệ thống phanh tái sinh|Có||model_data/vf-mpv7.csv
VF MPV 7|||powertrain|Hệ thống truyền động|drive_modes|Chế độ lái|Eco/Normal/Sport||model_data/vf-mpv7.csv
